Ne,C,gamma,avg,max,min,train_eps,test_eps
40,40,0.7,6.57,32,0,10000,1000
40,40,0.7,5.5138181818181815,31,0,10000,1000
40,40,0.7,5.184181818181818,28,0,10000,1000
40,40,0.7,13.298,28,2,10000,1000
40,40,0.5,12.276,31,2,10000,1000
40,40,0.3,13.519,34,2,10000,1000
40,40,0.1,12.423,29,1,10000,1000
40,40,0.7,12.391,30,1,10000,1000
40,40,0.7,12.111,29,1,10000,1000
40,40,0.7,12.951,28,2,10000,1000
40,40,0.7,16.863,37,1,10000,1000
30,10,0.4,15.597,34,2,10000,1000
30,10,0.7000000000000001,15.452,37,2,10000,1000
30,10,0.8,14.745,38,1,10000,1000
30,30,0.1,15.365,36,2,10000,1000
30,30,0.4,12.198,29,1,10000,1000
30,30,0.5,15.505,35,1,10000,1000
30,30,0.8,16.807,38,1,10000,1000
30,50,0.1,14.535,32,1,10000,1000
30,50,0.6,15.226,34,1,10000,1000
30,70,0.6,14.895,32,1,10000,1000
30,70,0.8,14.198,31,1,10000,1000
50,10,0.1,10.999,30,2,10000,1000
50,10,0.4,12.289,32,1,10000,1000
50,10,0.5,11.233,27,1,10000,1000
50,10,0.8,11.168,28,2,10000,1000
50,30,0.1,11.058,32,1,10000,1000
50,30,0.30000000000000004,11.768,30,1,10000,1000
50,30,0.4,11.948,26,2,10000,1000
50,30,0.5,10.36,28,2,10000,1000
50,30,0.7000000000000001,13.079,31,2,10000,1000
50,30,0.8,10.491,24,1,10000,1000
50,50,0.30000000000000004,11.66,29,2,10000,1000
50,50,0.7000000000000001,12.034,29,2,10000,1000
50,50,0.8,12.231,32,1,10000,1000
50,70,0.4,9.691,30,2,10000,1000
50,70,0.5,9.92,26,1,10000,1000
50,70,0.7000000000000001,10.484,26,2,10000,1000
50,70,0.8,13.491,30,2,10000,1000
70,10,0.1,7.378,25,1,10000,1000
70,10,0.30000000000000004,11.108,27,2,10000,1000
70,10,0.5,10.41,27,2,10000,1000
70,10,0.6,9.366,25,1,10000,1000
70,10,0.8,7.918,25,1,10000,1000
70,30,0.1,6.105,19,2,10000,1000
70,30,0.30000000000000004,8.337,23,2,10000,1000
70,30,0.4,9.419,27,2,10000,1000
70,30,0.6,7.316,24,1,10000,1000
70,30,0.8,7.869,25,1,10000,1000
70,50,0.1,8.796,27,2,10000,1000
70,50,0.2,6.56,21,1,10000,1000
70,50,0.4,8.059,24,2,10000,1000
70,50,0.6,8.974,26,1,10000,1000
70,50,0.8,9.207,27,2,10000,1000
70,70,0.1,6.729,19,1,10000,1000
70,70,0.2,8.053,24,1,10000,1000
70,70,0.30000000000000004,7.219,20,1,10000,1000
70,70,0.8,7.283,25,2,10000,1000
30,30,0.4,15.565,35,2,10000,1000
30,30,0.5,15.502,41,2,10000,1000
30,30,0.7,15.51,35,2,10000,1000
30,35,0.4,15.902,34,2,10000,1000
30,35,0.5,15.861,37,1,10000,1000
30,35,0.6,16.476,38,2,10000,1000
30,35,0.7,14.993,32,1,10000,1000
30,35,0.8999999999999999,14.267,33,2,10000,1000
30,40,0.4,15.274,37,2,10000,1000
30,40,0.5,15.765,38,2,10000,1000
30,40,0.7999999999999999,16.752,42,1,10000,1000
30,40,0.8999999999999999,12.804,30,1,10000,1000
30,45,0.4,14.431,34,1,10000,1000
30,45,0.7999999999999999,14.861,35,1,10000,1000
30,45,0.8999999999999999,13.924,32,1,10000,1000
30,50,0.6,15.242,35,1,10000,1000
30,50,0.7,14.07,33,1,10000,1000
30,50,0.7999999999999999,17.333,44,2,10000,1000
30,50,0.8999999999999999,14.228,41,1,10000,1000
35,30,0.5,14.205,31,2,10000,1000
35,30,0.7,14.4,31,2,10000,1000
35,30,0.8999999999999999,14.45,34,1,10000,1000
35,35,0.7,13.959,34,1,10000,1000
35,35,0.8999999999999999,14.191,31,1,10000,1000
35,40,0.4,13.561,30,1,10000,1000
35,40,0.5,13.529,37,2,10000,1000
35,40,0.7999999999999999,12.881,30,1,10000,1000
35,45,0.4,13.356,35,1,10000,1000
35,45,0.5,13.19,30,1,10000,1000
35,45,0.6,12.918,29,2,10000,1000
35,45,0.7,14.267,34,2,10000,1000
35,45,0.8999999999999999,14.201,34,1,10000,1000
35,50,0.4,15.259,35,2,10000,1000
35,50,0.6,12.128,31,2,10000,1000
40,30,0.4,13.118,33,2,10000,1000
40,30,0.6,12.475,38,1,10000,1000
40,30,0.7999999999999999,13.455,33,1,10000,1000
40,35,0.4,13.293,34,1,10000,1000
40,35,0.7,13.177,33,2,10000,1000
40,40,0.4,12.74,34,2,10000,1000
40,40,0.5,12.977,33,2,10000,1000
40,40,0.6,13.604,31,1,10000,1000
40,40,0.7,12.231,30,2,10000,1000
40,40,0.7999999999999999,12.863,36,2,10000,1000
40,40,0.8999999999999999,13.699,36,2,10000,1000
40,45,0.5,12.363,30,1,10000,1000
40,45,0.6,13.368,32,2,10000,1000
45,30,0.6,12.78,32,1,10000,1000
45,30,0.7,12.481,33,1,10000,1000
45,30,0.7999999999999999,12.871,31,2,10000,1000
45,30,0.8999999999999999,11.093,31,1,10000,1000
45,35,0.5,10.892,28,1,10000,1000
45,35,0.6,9.665,25,2,10000,1000
45,35,0.7,12.79,30,2,10000,1000
45,35,0.7999999999999999,12.192,28,2,10000,1000
45,35,0.8999999999999999,11.771,29,2,10000,1000
45,40,0.4,11.177,31,1,10000,1000
45,40,0.6,9.43,32,1,10000,1000
45,40,0.7,11.713,34,2,10000,1000
45,45,0.5,12.424,31,2,10000,1000
45,45,0.8999999999999999,13.635,34,2,10000,1000
45,50,0.4,12.252,31,2,10000,1000
45,50,0.5,11.556,31,1,10000,1000
45,50,0.6,12.834,29,1,10000,1000
50,30,0.4,11.951,30,2,10000,1000
