Ne,C,gamma,avg,max,min,train_eps,test_eps,npy_fname
76,48,0.7,23.155,51,2,50000,1000
37.0,10.0,0.5,21.476,48,3,27000,1000,Ne-37.00 C-10.00 gamma-0.50 avg-21.47600.npy
30.0,10.0,0.6000000000000001,24.334,51,7,38000,1000,Ne-30.00 C-10.00 gamma-0.60 avg-24.33400.npy
40.0,20.0,0.7000000000000001,24.03,57,4,47000,1000,Ne-40.00 C-20.00 gamma-0.70 avg-24.03000.npy
36.0,25.0,0.6000000000000001,24.25,53,7,34000,1000,Ne-36.00 C-25.00 gamma-0.60 avg-24.25000.npy
39.0,15.0,0.9,22.616,50,4,36000,1000,Ne-39.00 C-15.00 gamma-0.90 avg-22.61600.npy
34.0,20.0,0.9,25.277,59,2,37000,1000,Ne-34.00 C-20.00 gamma-0.90 avg-25.27700.npy
39.0,30.0,0.3,24.252,61,3,40000,1000,Ne-39.00 C-30.00 gamma-0.30 avg-24.25200.npy
31.0,30.0,0.3,24.706,58,7,43000,1000,Ne-31.00 C-30.00 gamma-0.30 avg-24.70600.npy
39.0,10.0,0.7000000000000001,23.399,52,5,40000,1000,Ne-39.00 C-10.00 gamma-0.70 avg-23.39900.npy
37.0,15.0,0.8,23.594,50,6,37000,1000,Ne-37.00 C-15.00 gamma-0.80 avg-23.59400.npy
32.0,15.0,0.6000000000000001,24.139,51,6,49000,1000,Ne-32.00 C-15.00 gamma-0.60 avg-24.13900.npy
37.0,25.0,0.5,23.237,53,6,37000,1000,Ne-37.00 C-25.00 gamma-0.50 avg-23.23700.npy
37.0,25.0,0.8,22.988,55,4,50000,1000,Ne-37.00 C-25.00 gamma-0.80 avg-22.98800.npy
39.0,15.0,0.3,25.731,59,5,39000,1000,Ne-39.00 C-15.00 gamma-0.30 avg-25.73100.npy
34.0,25.0,0.3,25.23,56,8,39000,1000,Ne-34.00 C-25.00 gamma-0.30 avg-25.23000.npy
80.0,85.0,0.7000000000000002,24.832,56,2,50000,1000,Ne-80.00 C-85.00 gamma-0.70 avg-24.83200.npy
90.0,80.0,0.7000000000000002,21.861,53,2,50000,1000,Ne-90.00 C-80.00 gamma-0.70 avg-21.86100.npy
